module,frac,noise
344348676,0.0007597,0.000134
344351748,0.0007655,0.0001419
344352772,0.0007668,0.0001402
344355844,0.0007536,0.0001411
344356868,0.000761,0.0001375
344359940,0.0007434,0.0001407
344360964,0.0007561,0.0001448
344364036,0.0007451,0.0001359
344365060,0.0007456,0.0001358
344368132,0.0007473,0.0001412
344369156,0.00076,0.000144
344372228,0.0007252,0.0001416
344373252,0.0007559,0.0001469
344376324,0.0007525,0.0001443
344377348,0.0007659,0.0001408
344380420,0.0007618,0.0001406
344381444,0.0007693,0.0001407
344384516,0.0007657,0.0001442
344385540,0.0007742,0.0001455
344388612,0.0007644,0.0001513
344389636,0.0007657,0.0001714
344392708,0.0007714,0.0001623
344393732,0.0007777,0.0001616
344396804,0.0007624,0.000167
344397828,0.0007614,0.0003348
344400900,0.0007733,0.0001578
344401924,0.0007883,0.0001606
344404996,0.0007741,0.0001493
344406020,0.0007815,0.0001569
344409092,0.00075,0.0001436
344410116,0.0007885,0.0001413
344413188,0.0007887,0.0001425
344414212,0.0007952,0.0001477
344417284,0.0007825,0.0001498
344421380,0.0007961,0.0001471
344422404,0.0007873,0.0001533
344425476,0.0007728,0.0001826
344426500,0.0007969,0.0001471
344474628,0.002379,0.0004392
344478724,0.002326,0.0004946
344482820,0.00227,0.0004074
344486916,0.002265,0.000376
344491012,0.002162,0.0003987
344492036,0.002244,0.0005622
344496132,0.002243,0.0004241
344499204,0.002224,0.0004488
344500228,0.002186,0.0004505
344503300,0.002172,0.0004686
344511492,0.002201,0.0005178
344512516,0.00219,0.0004843
344519684,0.002479,0.01644
344520708,0.002236,0.0003884
344527876,0.01092,0.001128
344528900,0.002333,0.0004275
344540164,0.002195,0.0006887
344544260,0.002405,0.0004402
344552452,0.000857,0.0001573
344553476,0.0008566,0.0001518
344556548,0.0008633,0.0001448
344557572,0.0008592,0.0001556
344560644,0.0008526,0.00015
344561668,0.0008698,0.000147
344565764,0.0008591,0.000154
344568836,0.0008632,0.0001479
344569860,0.0008712,0.0001453
344577028,0.0008454,0.0002004
344578052,0.0008589,0.0001378
344581124,0.0008413,0.0001466
344582148,0.0008531,0.0001848
344585220,0.0008454,0.0001315
344586244,0.0008216,0.0001269
344589316,0.0008407,0.0001286
344590340,0.0008506,0.0001316
344594436,0.0008521,0.0001278
344597508,0.0008457,0.0001347
344598532,0.0008517,0.0001337
344601604,0.0008439,0.0001354
344602628,0.0008514,0.0001315
344605700,0.0008478,0.000132
344606724,0.0008473,0.0001304
344609796,0.0008322,0.0001321
344610820,0.0008381,0.0001335
